species,id,location,total_sub,total,p,p_total,loc_sp
Northern flickers,c17 female,in,176.45788424803152,1225.571260095901,14.398010951580547,100,in_Northern flickers
Northern flickers,c17 female,in_ambig,4.1,1225.571260095901,0.3345378709092097,100,in_ambig_Northern flickers
Northern flickers,c17 female,ambig,9.785320292313894,1225.571260095901,0.7984293211598479,100,ambig_Northern flickers
Northern flickers,c17 female,out_ambig,1.3,1225.571260095901,0.10607298345901772,100,out_ambig_Northern flickers
Northern flickers,c17 female,out,1033.9280555555556,1225.571260095901,84.36294887289138,100,out_Northern flickers
Northern flickers,duckwar male 2012,in,271.461913574338,1074.4395587389336,25.26544293407737,100.00000000000001,in_Northern flickers
Northern flickers,duckwar male 2012,in_ambig,10.233333333333333,1074.4395587389336,0.9524345273869257,100.00000000000001,in_ambig_Northern flickers
Northern flickers,duckwar male 2012,ambig,20.681534053484597,1074.4395587389336,1.9248671444821384,100.00000000000001,ambig_Northern flickers
Northern flickers,duckwar male 2012,out_ambig,5.8,1074.4395587389336,0.5398163119391697,100.00000000000001,out_ambig_Northern flickers
Northern flickers,duckwar male 2012,out,766.2627777777777,1074.4395587389336,71.3174390821144,100.00000000000001,out_Northern flickers
Northern flickers,E_Meldrum,in,193.82346339490678,1245.707738267117,15.55930475831605,100,in_Northern flickers
Northern flickers,E_Meldrum,in_ambig,5.5,1245.707738267117,0.44151608206680615,100,in_ambig_Northern flickers
Northern flickers,E_Meldrum,ambig,30.116219316654735,1245.707738267117,2.4175991198825573,100,ambig_Northern flickers
Northern flickers,E_Meldrum,out_ambig,2.1333333333333333,1245.707738267117,0.1712547227410642,100,out_ambig_Northern flickers
Northern flickers,E_Meldrum,out,1014.1347222222222,1245.707738267117,81.41032531699352,100,out_Northern flickers
Northern flickers,Firecamp male 2012,in,146.74806281646093,875.7799146263467,16.756271794503448,100.00000000000001,in_Northern flickers
Northern flickers,Firecamp male 2012,in_ambig,5.3,875.7799146263467,0.6051748745872135,100.00000000000001,in_ambig_Northern flickers
Northern flickers,Firecamp male 2012,ambig,10.4651851432191,875.7799146263467,1.1949560578452056,100.00000000000001,ambig_Northern flickers
Northern flickers,Firecamp male 2012,out_ambig,3.1666666666666665,875.7799146263467,0.36158247223764334,100.00000000000001,out_ambig_Northern flickers
Northern flickers,Firecamp male 2012,out,710.1,875.7799146263467,81.0820148008265,100.00000000000001,out_Northern flickers
Northern flickers,rock25male,in,216.58161277857093,1110.8866725301743,19.49628329641231,100,in_Northern flickers
Northern flickers,rock25male,in_ambig,5.9,1110.8866725301743,0.531107280867999,100,in_ambig_Northern flickers
Northern flickers,rock25male,ambig,17.007004196047784,1110.8866725301743,1.5309396193684044,100,ambig_Northern flickers
Northern flickers,rock25male,out_ambig,4.066666666666666,1110.8866725301743,0.36607394500506135,100,out_ambig_Northern flickers
Northern flickers,rock25male,out,867.3313888888889,1110.8866725301743,78.07559585834622,100,out_Northern flickers
White-throated sparrows,1,in,12.989999077452554,1587.280209253033,0.8183809639739406,100.00000000000001,in_White-throated sparrows
White-throated sparrows,1,in_ambig,4.833333333333333,1587.280209253033,0.3045041011131789,100.00000000000001,in_ambig_White-throated sparrows
White-throated sparrows,1,ambig,32.37743239780267,1587.280209253033,2.039805713512887,100.00000000000001,ambig_White-throated sparrows
White-throated sparrows,1,out_ambig,2.9166666666666665,1587.280209253033,0.1837524748096769,100.00000000000001,out_ambig_White-throated sparrows
White-throated sparrows,1,out,1534.1627777777778,1587.280209253033,96.65355674659033,100.00000000000001,out_White-throated sparrows
White-throated sparrows,2,in,11.385102254748345,1605.2088809912734,0.7092598595466056,100.00000000000001,in_White-throated sparrows
White-throated sparrows,2,in_ambig,2.75,1605.2088809912734,0.17131726796214694,100.00000000000001,in_ambig_White-throated sparrows
White-throated sparrows,2,ambig,36.577667625414,1605.2088809912734,2.2786858494594173,100.00000000000001,ambig_White-throated sparrows
White-throated sparrows,2,out_ambig,1.5833333333333333,1605.2088809912734,0.09863721488729671,100.00000000000001,out_ambig_White-throated sparrows
White-throated sparrows,2,out,1552.9127777777778,1605.2088809912734,96.74209980814454,100.00000000000001,out_White-throated sparrows
White-throated sparrows,3,in,12.809642706976996,1573.4486445711057,0.8141125387965032,99.99999999999999,in_White-throated sparrows
White-throated sparrows,3,in_ambig,3.1666666666666665,1573.4486445711057,0.20125643614697344,99.99999999999999,in_ambig_White-throated sparrows
White-throated sparrows,3,ambig,32.97566853079531,1573.4486445711057,2.0957575351805584,99.99999999999999,ambig_White-throated sparrows
White-throated sparrows,3,out_ambig,0.75,1573.4486445711057,0.047665998034809504,99.99999999999999,out_ambig_White-throated sparrows
White-throated sparrows,3,out,1523.7466666666667,1573.4486445711057,96.84120749184115,99.99999999999999,out_White-throated sparrows
White-throated sparrows,4,in,11.670846751067373,1567.1729203775194,0.7447070198390079,100,in_White-throated sparrows
White-throated sparrows,4,in_ambig,4.25,1567.1729203775194,0.2711889635622474,100,in_ambig_White-throated sparrows
White-throated sparrows,4,ambig,25.421518070896468,1567.1729203775194,1.622125914782437,100,ambig_White-throated sparrows
White-throated sparrows,4,out_ambig,1.75,1567.1729203775194,0.11166604381974894,100,out_ambig_White-throated sparrows
White-throated sparrows,4,out,1524.0805555555555,1567.1729203775194,97.25031205799655,100,out_White-throated sparrows
